product_name,brand,price,ram,storage,screen_size,resolution,chipset,os,rear_camera,front_camera,battery,dimensions,weight,rating_value,rating_count,image_url
Honor 500 Pro 5G,HONOR,14469000,12,512,6.55,1264x2736,Snapdragon 8 Elite (3 nm),"Android 16, MagicOS 10",200 + 50 + 12 MP,50 MP,8000,155.8x74.2x7.8,201,5,1,https://www.duchuymobile.com/images/detailed/87/honor-500-pro-bac.jpg
Honor 500 Pro 5G,HONOR,15579000,16,512,6.55,1264x2736,Snapdragon 8 Elite (3 nm),"Android 16, MagicOS 10",200 + 50 + 12 MP,50 MP,8000,155.8x74.2x7.8,201,5,1,https://www.duchuymobile.com/images/detailed/87/honor-500-pro-hong.jpg
Honor 500 Pro 5G,HONOR,17799000,16,1024,6.55,1264x2736,Snapdragon 8 Elite (3 nm),"Android 16, MagicOS 10",200 + 50 + 12 MP,50 MP,8000,155.8x74.2x7.8,201,5,1,https://www.duchuymobile.com/images/detailed/87/honor-500-pro-xanh_us5i-s2.jpg
Samsung Galaxy A07,Samsung,3199000,8,256,6.7,720x1600,MediaTek Helio G99,Android 15,Chính 50 MP & Phụ 2 MP,8MP,5000,167.4x77.4x7.6,184,5,3,https://www.duchuymobile.com/images/detailed/87/samsung-galaxy-a07-xanh-la.jpg
Red Magic 11 Air 5G,,13169000,12,256,6.85,1216x2688,Snapdragon 8 Elite (3 nm),"Android 16, Redmagic OS 11",50 + 8 + 8 MP,"16 MP, f/2.0",7000,163.8x76.5x8,207,5,1,https://www.duchuymobile.com/images/detailed/89/red-magic-11-air.jpg
ZTE nubia Flip 3 5G,Nubia,6999000,6,128,6.9,1188x2790,Dimensity 7400X (4 nm),Android 15,50 + 12 MP,32 MP,4610,170x76x7.5,187,5,1,https://www.duchuymobile.com/images/detailed/88/nubia-flip-3.jpg
OPPO A6x 5G,OPPO,3659000,4,64,6.75,720x1570,Dimensity 6300,"Android 15, ColorOS 15",13 MP,5MP,6500,166.6x78.5x8.6,212,5,1,https://www.duchuymobile.com/images/detailed/88/oppo-a6x-5g.jpg
Xiaomi Poco F8 Pro 5G,Xiaomi,15999000,12,512,6.59,1156x2510,Snapdragon 8 Elite (3 nm),Xiaomi HyperOS 3,50 + 50 + 8 MP,20 MP,6210,157.5x75.3x8,199,5,1,https://www.duchuymobile.com/images/detailed/88/poco-f8-pro-den.jpg
Xiaomi Poco F8 Ultra 5G,Xiaomi,16999000,16,512,6.9,1200x2608,Snapdragon 8 Elite Gen 5 (3 nm),"Android 16, HyperOS 3",50 + 50 + 50 MP,32 MP,6500,163.3x77.8x7.9,218,5,1,https://www.duchuymobile.com/images/detailed/88/poco-f8-ultra-den.jpg
Xiaomi Redmi 15 5G,Xiaomi,5029000,8,256,6.9,1080x2340,Snapdragon 6s Gen 3 (6 nm),Xiaomi HyperOS 2,50 MP + Ống kính phụ,8 MP,7000,169.48x80.45x8.4,217,5,1,https://www.duchuymobile.com/images/detailed/88/xiaomi-redmi-15-5g-den.jpg
