product_name,brand,price,ram,storage,screen_size,resolution,chipset,os,rear_camera,front_camera,battery,dimensions,weight,rating_value,rating_count,original_price,stock,image_url
vivo X200T 5G,Vivo,17079000,12,256.0,6.67,1260x2800,Dimensity 9400+ (3 nm),"Android 16, OriginOS 6",50 + 50 + 50 MP,"32 MP, f/2.0",6200.0,160x74.3x8,203,5,1,20020000.0,28,https://www.duchuymobile.com/images/detailed/89/vivo-x200t.jpg
Realme 15T 5G,Realme,7999000,12,256.0,6.57,1080x2372,Dimensity 6400 Max,Android 15,"Chính 50 MP & Phụ 50 MP, 2 MP",50 MP,7000.0,158.36x75.19x7.79,181,5,1,9940000.0,35,https://www.duchuymobile.com/images/detailed/85/realme-15t-bac.jpg
Realme 16 5G,Realme,9399000,8,256.0,6.57,2372x1080,Dimensity 6400 Turbo 8 nhân,Android 16,Chính 50 MP & Phụ 2 MP,50MP,7000.0,158.3x75.13x8.1,183,5,1,11390000.0,12,https://www.duchuymobile.com/images/detailed/89/realme-16-trang.jpg
Tecno Spark 40C,Tecno,2899000,8,256.0,6.67,720x1600,MediaTek Helio G81,Android 15,13 MP,8 MP,6000.0,165.66x77x8.25,193,5,1,3390000.0,31,https://www.duchuymobile.com/images/detailed/85/tecno-spark-40c-trang.jpg
Xiaomi 17 Pro Max 5G,Xiaomi,25899000,16,1024.0,6.9,1200x2608,Snapdragon 8 Elite Gen 5 (3 nm),"Android 16, HyperOS 3",Leica lens 50+50+50 MP,"50 MP, f/2.2, 21mm (wide), PDAF",6500.0,162.9x77.6x8,219,5,1,32980000.0,70,https://www.duchuymobile.com/images/detailed/85/xiaomi-17-pro-max-1tb.png
iPhone 17 Pro 1TB,Apple,42999000,12,1024.0,6.3,1206x2622,Apple A19 Pro,iOS 26,48 + 48 + 48 MP,"18 MP multi-aspect, f/1.9, (wide), PDAF, OIS",6500.0,150x71.9x8.75,204,5,3,48350000.0,58,https://www.duchuymobile.com/images/detailed/84/iphone-17-pro-xanh-dam.jpg
iPhone 17 Pro Max 1TB,Apple,48599000,12,1024.0,6.9,1320x2868,Apple A19 Pro,iOS 26,48 + 48 + 48 MP,Camera 18MP Center Stage Khẩu độ ƒ/1.9,6500.0,163.4x78x8.75,231,5,3,56790000.0,114,https://www.duchuymobile.com/images/detailed/84/iphone-17-pro-max-xanh-dam.jpg
iPhone 17 Pro 512GB,Apple,38699000,12,512.0,6.3,1206x2622,Apple A19 Pro,iOS 26,48 + 48 + 48 MP,"18 MP multi-aspect, f/1.9, (wide), PDAF, OIS",6500.0,150x71.9x8.75,204,5,3,46100000.0,85,https://www.duchuymobile.com/images/detailed/84/iphone-17-pro-bac.jpg
iPhone 17 Pro Max 512GB,Apple,41999000,12,512.0,6.9,1320x2868,Apple A19 Pro,iOS 26,48 + 48 + 48 MP,Camera 18MP Center Stage Khẩu độ ƒ/1.9,6500.0,163.4x78x8.75,231,5,3,51240000.0,27,https://www.duchuymobile.com/images/detailed/84/iphone-17-pro-max-bac.jpg
Motorola Edge 70 5G,Motorola,24529000,12,512.0,6.7,1220x2712,Snapdragon 7 Gen 4 (4 nm),Android 16,50 + 50 MP,50 MP,4800.0,159.9x74x6,159,5,1,32830000.0,65,https://www.duchuymobile.com/images/detailed/87/motorola-edge-70.jpg
